,Params,ROC AUC
77,"{'convergence_mode': 'medium', 'iter': 4000, 'n_factors': 20, 'tolerance': 0.001}",0.9257602862254024
78,"{'convergence_mode': 'medium', 'iter': 4000, 'n_factors': 30, 'tolerance': None}",0.92162343470483
79,"{'convergence_mode': 'medium', 'iter': 4000, 'n_factors': 30, 'tolerance': 0.01}",0.92162343470483
80,"{'convergence_mode': 'medium', 'iter': 4000, 'n_factors': 30, 'tolerance': 0.001}",0.92162343470483
81,"{'convergence_mode': 'medium', 'iter': 5000, 'n_factors': 10, 'tolerance': None}",0.9661225402504472
82,"{'convergence_mode': 'medium', 'iter': 5000, 'n_factors': 10, 'tolerance': 0.01}",0.9661225402504472
83,"{'convergence_mode': 'medium', 'iter': 5000, 'n_factors': 10, 'tolerance': 0.001}",0.9661225402504472
84,"{'convergence_mode': 'medium', 'iter': 5000, 'n_factors': 20, 'tolerance': None}",0.9257602862254024
85,"{'convergence_mode': 'medium', 'iter': 5000, 'n_factors': 20, 'tolerance': 0.01}",0.9257602862254024
86,"{'convergence_mode': 'medium', 'iter': 5000, 'n_factors': 20, 'tolerance': 0.001}",0.9257602862254024
87,"{'convergence_mode': 'medium', 'iter': 5000, 'n_factors': 30, 'tolerance': None}",0.92162343470483
88,"{'convergence_mode': 'medium', 'iter': 5000, 'n_factors': 30, 'tolerance': 0.01}",0.92162343470483
89,"{'convergence_mode': 'medium', 'iter': 5000, 'n_factors': 30, 'tolerance': 0.001}",0.92162343470483
90,"{'convergence_mode': 'fast', 'iter': 1000, 'n_factors': 10, 'tolerance': None}",0.9661225402504472
91,"{'convergence_mode': 'fast', 'iter': 1000, 'n_factors': 10, 'tolerance': 0.01}",0.9661225402504472
92,"{'convergence_mode': 'fast', 'iter': 1000, 'n_factors': 10, 'tolerance': 0.001}",0.9661225402504472
93,"{'convergence_mode': 'fast', 'iter': 1000, 'n_factors': 20, 'tolerance': None}",0.9614266547406082
94,"{'convergence_mode': 'fast', 'iter': 1000, 'n_factors': 20, 'tolerance': 0.01}",0.9614266547406082
95,"{'convergence_mode': 'fast', 'iter': 1000, 'n_factors': 20, 'tolerance': 0.001}",0.9614266547406082
96,"{'convergence_mode': 'fast', 'iter': 1000, 'n_factors': 30, 'tolerance': None}",0.9542710196779964
97,"{'convergence_mode': 'fast', 'iter': 1000, 'n_factors': 30, 'tolerance': 0.01}",0.9542710196779964
98,"{'convergence_mode': 'fast', 'iter': 1000, 'n_factors': 30, 'tolerance': 0.001}",0.9542710196779964
99,"{'convergence_mode': 'fast', 'iter': 2000, 'n_factors': 10, 'tolerance': None}",0.9661225402504472
100,"{'convergence_mode': 'fast', 'iter': 2000, 'n_factors': 10, 'tolerance': 0.01}",0.9661225402504472
101,"{'convergence_mode': 'fast', 'iter': 2000, 'n_factors': 10, 'tolerance': 0.001}",0.9661225402504472
102,"{'convergence_mode': 'fast', 'iter': 2000, 'n_factors': 20, 'tolerance': None}",0.9614266547406082
103,"{'convergence_mode': 'fast', 'iter': 2000, 'n_factors': 20, 'tolerance': 0.01}",0.9614266547406082
104,"{'convergence_mode': 'fast', 'iter': 2000, 'n_factors': 20, 'tolerance': 0.001}",0.9614266547406082
105,"{'convergence_mode': 'fast', 'iter': 2000, 'n_factors': 30, 'tolerance': None}",0.9542710196779964
106,"{'convergence_mode': 'fast', 'iter': 2000, 'n_factors': 30, 'tolerance': 0.01}",0.9542710196779964
107,"{'convergence_mode': 'fast', 'iter': 2000, 'n_factors': 30, 'tolerance': 0.001}",0.9542710196779964
108,"{'convergence_mode': 'fast', 'iter': 3000, 'n_factors': 10, 'tolerance': None}",0.9661225402504472
109,"{'convergence_mode': 'fast', 'iter': 3000, 'n_factors': 10, 'tolerance': 0.01}",0.9661225402504472
110,"{'convergence_mode': 'fast', 'iter': 3000, 'n_factors': 10, 'tolerance': 0.001}",0.9661225402504472
111,"{'convergence_mode': 'fast', 'iter': 3000, 'n_factors': 20, 'tolerance': None}",0.9614266547406082
112,"{'convergence_mode': 'fast', 'iter': 3000, 'n_factors': 20, 'tolerance': 0.01}",0.9614266547406082
113,"{'convergence_mode': 'fast', 'iter': 3000, 'n_factors': 20, 'tolerance': 0.001}",0.9614266547406082
114,"{'convergence_mode': 'fast', 'iter': 3000, 'n_factors': 30, 'tolerance': None}",0.9542710196779964
115,"{'convergence_mode': 'fast', 'iter': 3000, 'n_factors': 30, 'tolerance': 0.01}",0.9542710196779964
116,"{'convergence_mode': 'fast', 'iter': 3000, 'n_factors': 30, 'tolerance': 0.001}",0.9542710196779964
117,"{'convergence_mode': 'fast', 'iter': 4000, 'n_factors': 10, 'tolerance': None}",0.9661225402504472
118,"{'convergence_mode': 'fast', 'iter': 4000, 'n_factors': 10, 'tolerance': 0.01}",0.9661225402504472
119,"{'convergence_mode': 'fast', 'iter': 4000, 'n_factors': 10, 'tolerance': 0.001}",0.9661225402504472
